date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:25:04	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2025%20Dec%202020%2004:55:05%20GMT	https://exponentwptheme.com/robots.txt		(from )
10:25:04	270428/270428	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Dec%202020%2004:55:05%20GMT	https://exponentwptheme.com/finance/	E:/My%20Web%20Sites/int/exponentwptheme.com/finance/index.html	(from )
10:25:04	5014/5014	---M-Z	200	added ('OK')	application/javascript	etag:%227f65292d12ac1e1345883bbc03757a23%22	https://exponentwptheme.com/cdn-cgi/apps/head/QnsYqqvjyh0MKdHz8gTjGt2dv0k.js	E:/My%20Web%20Sites/int/exponentwptheme.com/cdn-cgi/apps/head/QnsYqqvjyh0MKdHz8gTjGt2dv0k.js	(from https://exponentwptheme.com/finance/)
10:25:04	41045/41045	---MCZ	200	added ('OK')	text/css	etag:W/%225ee100b8-a055%22	https://exponentwptheme.com/finance/wp-includes/css/dist/block-library/style.min.css?ver=5.3.6	E:/My%20Web%20Sites/int/exponentwptheme.com/finance/wp-includes/css/dist/block-library/style.min48f5.css	(from https://exponentwptheme.com/finance/)
10:25:05	42230/42230	---MCZ	200	added ('OK')	text/css	etag:W/%225dd0088a-a4f6%22	https://qu3r1v212d48cje431eqa61a-wpengine.netdna-ssl.com/wp-content/plugins/be-grid/css/be-grid.min.css?ver=1.2.4	E:/My%20Web%20Sites/int/qu3r1v212d48cje431eqa61a-wpengine.netdna-ssl.com/wp-content/plugins/be-grid/css/be-grid.min9030.css	(from https://exponentwptheme.com/finance/)
10:25:06	1411/1411	---MCZ	200	added ('OK')	text/css	etag:W/%225dd0097b-695%22	https://exponentwptheme.com/finance/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.1.5	E:/My%20Web%20Sites/int/exponentwptheme.com/finance/wp-content/plugins/contact-form-7/includes/css/stylesc6ac.css	(from https://exponentwptheme.com/finance/)
10:25:06	232764/232764	---MCZ	200	added ('OK')	application/rss+xml	date:Tue,%2031%20Dec%202019%2013:02:41%20GMT	https://exponentwptheme.com/finance/feed/	E:/My%20Web%20Sites/int/exponentwptheme.com/finance/feed/index.html	(from https://exponentwptheme.com/finance/)
10:25:06	12351/12351	---MCZ	200	added ('OK')	application/rss+xml	date:Fri,%2017%20Aug%202018%2007:46:42%20GMT	https://exponentwptheme.com/finance/comments/feed/	E:/My%20Web%20Sites/int/exponentwptheme.com/finance/comments/feed/index.html	(from https://exponentwptheme.com/finance/)
10:25:06	152798/152798	---MCZ	200	added ('OK')	text/css	etag:W/%225fc4a1f5-254de%22	https://qu3r1v212d48cje431eqa61a-wpengine.netdna-ssl.com/wp-content/plugins/tatsu/public/css/tatsu.min.css?ver=3.2.2	E:/My%20Web%20Sites/int/qu3r1v212d48cje431eqa61a-wpengine.netdna-ssl.com/wp-content/plugins/tatsu/public/css/tatsu.minee9a.css	(from https://exponentwptheme.com/finance/)
10:25:07	27563/27563	---MCZ	200	added ('OK')	text/css	etag:W/%225dd0089b-6bab%22	https://qu3r1v212d48cje431eqa61a-wpengine.netdna-ssl.com/wp-content/plugins/exponent-modules/public/css/exponent-modules.min.css?ver=2.1	E:/My%20Web%20Sites/int/qu3r1v212d48cje431eqa61a-wpengine.netdna-ssl.com/wp-content/plugins/exponent-modules/public/css/exponent-modules.min53cf.css	(from https://exponentwptheme.com/finance/)
10:25:07	13118/13118	---MCZ	200	added ('OK')	text/css	etag:W/%225d0de4bb-333e%22	https://exponentwptheme.com/finance/wp-content/plugins/instagram-feed/css/sb-instagram.min.css?ver=1.12	E:/My%20Web%20Sites/int/exponentwptheme.com/finance/wp-content/plugins/instagram-feed/css/sb-instagram.min2f3e.css	(from https://exponentwptheme.com/finance/)
